Rank,Name Country/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Citations,Industry Income,International Outlook,Overall,Research,Teaching
73,Charité - Universitätsmedizin Berlin,8429,18.0,21%,64 : 36,98.8,87.1,69.3,67.2,52.2,48.5
74,University of Science and Technology of ChinaChina,18573,8.1,6%,nan,78.8,69.4,36.9,67.1,64.9,65.0
75,University of GroningenNetherlands,30009,24.4,28%,52 : 48,90.4,75.8,89.8,66.6,57.6,45.4
76,University of Bristol,25679,14.6,31%,56 : 44,98.6,43.5,89.4,66.5,53.4,43.8
77,Leiden UniversityNetherlands,33648,19.3,20%,60 : 40,86.6,68.4,85.4,66.4,64.4,43.2
78,Yonsei University (Seoul campus)South Korea,19481,14.7,17%,50 : 50,63.9,94.8,52.8,66.3,68.9,67.0
79,Hong Kong Polytechnic University,19046,28.9,30%,51 : 49,86.7,56.0,97.6,65.8,57.0,46.6
80,Erasmus University RotterdamNetherlands,31668,33.9,22%,53 : 47,95.6,64.4,89.7,65.7,57.1,38.6
81,University of Wisconsin-Madison,40701,10.0,14%,nan,78.7,48.4,51.8,65.5,62.9,59.7
=82,Emory University,13190,4.2,20%,60 : 40,98.0,48.6,59.8,65.3,46.0,54.8
=82,University of GlasgowUnited Kingdom,28541,13.5,41%,59 : 41,96.5,41.9,93.8,65.3,50.8,43.3
=82,University of Zurich,25003,13.7,22%,56 : 44,87.5,57.6,93.0,65.3,50.7,51.5
85,McMaster UniversityCanada,26403,29.0,20%,56 : 44,94.6,89.9,84.7,65.1,51.1,42.7
=86,Humboldt University of Berlin,34399,53.2,17%,nan,75.6,42.8,70.5,64.9,64.3,55.2
=86,University of Tübingen,20620,27.5,13%,59 : 41,84.5,79.9,64.1,64.9,58.2,51.1
88,University of Adelaide,23102,32.8,32%,49 : 51,92.2,65.3,93.6,64.7,51.8,42.7
89,University of Bonn,27210,47.5,17%,56 : 44,86.0,55.0,68.7,64.6,56.1,51.6
90,Sorbonne University,41443,13.9,21%,59 : 41,76.6,40.0,72.3,64.5,58.3,58.7
=91,Free University of Berlin,26497,41.9,23%,62 : 38,74.8,41.7,76.4,64.2,62.4,54.2
=91,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9946,10.7,9%,21 : 79,65.7,100.0,38.2,64.2,66.0,64.5
93,Université Paris-Saclay,44443,14.9,19%,49 : 51,79.1,54.6,69.7,63.9,55.2,56.7
94,University of Bern,11728,17.2,17%,58 : 42,90.7,86.3,88.2,63.7,46.5,46.0
=95,"University of California, Irvine",36655,16.9,28%,52 : 48,93.6,59.4,73.2,63.6,51.6,43.5
=95,Institut Polytechnique de ParisFrance,5999,6.7,41%,24 : 76,64.8,72.7,95.6,63.6,58.8,58.5
=95,Nanjing University,36426,16.5,8%,54 : 46,74.3,87.3,55.2,63.6,58.2,58.4
98,Vanderbilt University,12696,3.8,15%,55 : 45,96.5,66.7,50.6,63.5,47.5,49.5
=99,City University of Hong Kong,9099,12.1,62%,54 : 46,79.9,76.6,99.6,63.4,53.0,47.2
=99,RWTH Aachen University,39738,50.0,28%,33 : 67,66.1,93.8,65.1,63.4,64.5,56.8
=101,University of Basel,8632,10.9,30%,57 : 43,86.5,99.2,96.8,63.0,44.1,47.0
=101,King Abdulaziz UniversitySaudi Arabia,31545,7.8,22%,54 : 46,91.9,74.2,93.6,63.0,36.7,51.7
=101,University of Minnesota,61009,12.0,10%,54 : 46,81.2,77.8,41.7,63.0,56.9,55.1
=104,"University of Maryland, College Park",33775,16.5,11%,49 : 51,89.7,40.0,42.6,62.9,57.7,48.1
=104,University of Warwick,23231,13.1,44%,50 : 50,88.1,42.7,94.9,62.9,49.6,44.8
106,Michigan State University,45465,16.0,13%,52 : 48,78.8,39.9,61.9,62.8,55.6,56.2
107,Ghent University,39437,35.6,12%,57 : 43,77.8,80.0,63.9,62.7,60.1,48.6
=108,University of Birmingham,31822,15.0,34%,58 : 42,95.2,42.3,92.2,62.6,46.2,40.5
=108,University of Southampton,21173,13.7,39%,53 : 47,92.3,44.1,94.6,62.6,47.5,41.4
110,University of Helsinki,23059,15.8,5%,67 : 33,86.6,39.1,57.0,62.5,58.5,45.9
111,University of MontrealCanada,38189,20.8,22%,nan,75.8,76.5,85.5,62.3,53.2,50.9
112,Ohio State University (Main campus),55814,11.8,13%,51 : 49,83.4,55.3,60.3,62.2,51.2,53.0
113,University of Freiburg,20253,37.2,17%,53 : 47,80.8,96.2,67.3,61.9,52.8,47.8
=114,University of Copenhagen,31519,4.2,16%,62 : 38,87.2,55.0,84.7,61.7,47.5,45.1
=114,Université Paris Cité,62747,17.0,19%,65 : 35,89.3,37.3,68.3,61.7,44.8,51.5
=114,University of SheffieldUnited Kingdom,27464,14.5,41%,53 : 47,89.5,47.4,88.5,61.7,46.4,43.6
117,Aarhus University,26475,13.5,10%,55 : 45,77.6,74.1,77.9,61.2,60.0,40.6
118,University of Alberta,32338,21.6,28%,nan,72.9,82.7,89.2,61.1,52.7,48.8
=119,University of Göttingen,30221,26.0,14%,52 : 48,83.9,40.1,63.0,61.0,53.8,46.3
=119,Lund University,28545,11.5,18%,55 : 45,81.0,79.5,78.5,61.0,55.5,40.5
121,Vrije Universiteit Amsterdam,29796,19.8,16%,56 : 44,87.5,59.1,79.4,60.9,52.2,38.4
122,Lancaster University,14378,12.8,39%,51 : 49,96.9,38.3,94.9,60.8,40.0,38.7
123,Dartmouth College,6440,7.8,15%,49 : 51,88.2,40.0,42.0,60.7,40.4,59.8
=124,Queen Mary University of London,20506,13.2,46%,55 : 45,97.7,44.0,97.1,60.4,41.3,34.3
=124,University of Vienna,35929,42.9,29%,66 : 34,65.1,44.8,95.8,60.4,59.3,49.4
126,University of Oslo,21548,13.3,15%,66 : 34,89.0,44.5,77.0,60.2,48.5,40.1
127,Purdue University West Lafayette,44551,16.9,20%,44 : 56,56.9,67.8,71.1,60.1,64.2,55.9
=128,University of Hamburg,30676,61.5,12%,58 : 42,75.4,96.1,60.4,59.8,54.4,46.5
=128,University of Leeds,33991,14.6,36%,60 : 40,79.3,40.5,91.8,59.8,47.8,46.0
130,University of Nottingham,32876,15.1,31%,54 : 46,86.6,41.7,90.4,59.6,44.1,41.8
=131,University of Antwerp,15857,32.2,17%,56 : 44,90.4,83.5,71.8,59.4,46.2,36.4
=131,The University of Western Australia,18405,21.3,28%,49 : 51,85.6,69.2,94.4,59.4,48.1,34.9
133,University of Technology SydneyAustralia,27481,35.1,31%,50 : 50,90.5,49.7,96.0,59.3,42.1,36.9
134,Case Western Reserve University,10934,8.2,20%,51 : 49,90.7,43.4,52.9,59.0,40.6,48.4
135,University of Lausanne,13401,10.2,23%,nan,83.0,72.3,92.3,58.7,47.6,35.8
136,Georgetown University,16074,8.0,19%,54 : 46,88.0,54.0,49.1,58.6,35.0,55.5
=137,University of Exeter,24164,15.9,29%,53 : 47,94.8,39.2,92.7,58.5,41.3,32.4
=137,University of OttawaCanada,36670,26.0,24%,58 : 42,82.6,51.0,84.1,58.5,45.4,41.7
=139,University of AucklandNew Zealand,33093,22.1,32%,56 : 44,85.4,56.4,94.3,58.4,44.3,36.8
=139,Newcastle UniversityUnited Kingdom,25588,15.1,29%,52 : 48,96.0,41.8,87.8,58.4,40.0,33.3
=139,Radboud University NijmegenNetherlands,21979,17.6,13%,56 : 44,85.5,48.0,74.7,58.4,51.6,34.9
=139,University of Würzburg,23754,40.7,10%,58 : 42,87.8,79.4,57.3,58.4,45.2,40.7
=139,University of York,17666,14.3,28%,56 : 44,85.9,38.4,88.7,58.4,44.0,39.3
144,University of Pittsburgh-Pittsburgh campus,26575,5.5,11%,55 : 45,90.6,44.2,43.4,58.3,42.9,46.2
145,Maastricht University,19909,18.6,56%,60 : 40,75.5,73.2,98.1,58.2,49.6,38.4
146,University of Cologne,33341,30.4,16%,nan,80.0,77.3,64.4,58.0,46.5,44.5
147,Rice University,7068,9.2,28%,43 : 57,84.4,44.5,75.3,57.9,39.7,46.5
=148,University of Colorado Boulder,34928,16.0,8%,45 : 55,85.5,44.6,45.6,57.8,46.3,45.6
=148,Ulm University,10271,26.2,13%,51 : 49,89.3,77.6,56.1,57.8,41.2,41.6
=148,Uppsala University,25548,15.3,17%,62 : 38,75.2,71.5,72.6,57.8,55.7,37.6
=151,University of Florida,46807,16.1,8%,56 : 44,64.2,51.4,41.4,57.7,58.7,55.0
=151,Penn State (Main campus),46863,14.0,16%,47 : 53,75.2,41.6,48.3,57.7,53.8,47.8
=151,Tufts University,11399,10.0,16%,56 : 44,92.2,43.4,51.4,57.7,36.7,47.1
154,University of Rochester,10364,7.7,36%,50 : 50,87.0,49.3,73.8,57.6,40.5,42.0
155,KTH Royal Institute of Technology,13329,16.4,20%,34 : 66,68.4,68.1,81.1,57.5,53.8,43.5
=156,Arizona State University (Tempe)United States,50027,19.6,17%,45 : 55,79.6,40.2,62.5,57.4,47.9,44.8
=156,Technical University of Berlin,20243,48.1,27%,35 : 65,62.0,92.6,67.8,57.4,55.7,48.8
=156,TU Dresden,30382,30.8,16%,45 : 55,69.1,92.4,60.5,57.4,50.7,48.8
=156,University of Virginia (Main campus),25810,9.0,13%,53 : 47,86.6,45.8,52.5,57.4,39.8,48.1
160,University of Cape TownSouth Africa,21069,12.8,15%,54 : 46,88.7,53.3,78.8,57.2,43.8,33.9
=161,University of BolognaItaly,69831,24.4,12%,56 : 44,80.2,46.4,51.6,57.0,40.8,52.1
=161,Trinity College DublinIreland,17764,21.0,28%,60 : 40,79.4,47.1,93.7,57.0,47.3,36.0
=163,University of Leicester,14649,14.1,34%,54 : 46,98.7,41.9,92.5,56.9,32.9,31.4
=163,Lomonosov Moscow State University,32625,10.0,36%,50 : 50,9.3,99.1,72.4,56.9,72.9,81.0
=163,Pohang University of Science and Technology (POSTECH)South Korea,3260,10.0,3%,nan,67.7,96.2,31.8,56.9,51.4,54.7
=166,Southern University of Science and Technology (SUSTech)China,5137,8.8,1%,nan,95.5,77.9,59.0,56.8,42.9,29.8
=166,Technical University of Denmark,9599,6.9,26%,32 : 68,73.2,86.0,94.0,56.8,44.9,40.4
=168,Medical University of Graz,3722,14.1,27%,53 : 47,96.8,98.1,79.0,56.6,34.4,29.4
=168,"Northeastern University, US",21211,14.6,36%,48 : 52,96.2,40.1,76.3,56.6,30.2,39.9
=170,Indiana University,66637,12.6,13%,53 : 47,85.5,53.6,54.3,56.5,39.4,45.5
=170,Université Catholique de Louvain,24523,36.0,20%,54 : 46,72.8,57.7,82.3,56.5,50.4,39.9
=170,Sungkyunkwan University (SKKU)South Korea,23399,19.4,18%,nan,59.4,98.3,56.4,56.5,54.0,52.8
173,Wuhan UniversityChina,55412,15.2,6%,nan,89.2,69.4,35.3,56.4,40.5,43.5
174,Ulsan National Institute of Science and Technology (UNIST)South Korea,3896,13.6,9%,27 : 73,85.9,89.9,43.7,56.3,42.0,41.3
175,Macquarie UniversityAustralia,30561,69.0,27%,52 : 48,76.1,64.9,89.8,56.2,44.6,38.7
=176,Huazhong University of Science and TechnologyChina,57167,16.2,4%,nan,88.8,83.2,25.5,56.1,42.6,42.2
=176,University of LiverpoolUnited Kingdom,26352,14.2,36%,55 : 45,89.4,39.6,94.1,56.1,37.7,33.2
=176,Stockholm University,30365,20.7,7%,nan,87.1,38.3,66.3,56.1,50.4,29.7
179,University of Mannheim,7684,58.2,13%,nan,79.0,61.0,57.4,56.0,48.2,40.0
180,University of Arizona,39797,17.0,9%,54 : 46,78.7,52.1,41.3,55.9,47.0,45.8
181,Texas A&M University,62931,21.3,8%,47 : 53,63.2,45.1,56.0,55.8,54.8,50.2
182,University of Barcelona,45004,15.8,11%,63 : 37,89.9,50.2,59.9,55.7,43.4,33.1
=183,Autonomous University of BarcelonaSpain,31933,12.7,16%,60 : 40,91.1,43.0,67.1,55.6,38.8,35.1
=183,Scuola Normale Superiore di Pisa,629,7.6,13%,28 : 72,74.8,38.2,56.4,55.6,36.5,56.7
185,University of Münster,28014,25.4,7%,nan,81.4,48.9,49.2,55.5,43.9,43.4
186,Pompeu Fabra University,11965,22.4,13%,60 : 40,91.5,46.2,68.9,55.4,39.4,32.6
=187,Cardiff UniversityUnited Kingdom,27107,14.3,28%,59 : 41,88.5,41.5,88.3,55.2,38.9,31.1
=187,National Taiwan University (NTU)Taiwan,25215,11.4,11%,42 : 58,60.1,75.1,47.2,55.2,55.5,50.2
=189,Friedrich Schiller University Jena,16446,20.6,14%,nan,81.3,49.7,62.8,55.0,39.9,42.4
=189,Karlsruhe Institute of Technology,22673,21.6,20%,29 : 71,57.8,89.7,68.6,55.0,54.2,46.7
191,University of Massachusetts,63338,13.2,14%,49 : 51,87.8,51.7,65.0,54.9,33.5,41.2
=192,University of Aberdeen,13203,16.2,44%,58 : 42,89.8,47.5,95.9,54.8,34.1,30.7
=192,"University of California, Santa Cruz",19266,22.6,14%,47 : 53,95.9,46.2,67.9,54.8,33.3,32.6
=194,Medical University of Vienna,7274,8.4,33%,50 : 50,94.0,61.2,81.7,54.6,27.6,35.0
=194,University of Miami,17009,10.8,16%,53 : 47,81.0,48.3,60.2,54.6,33.5,48.4
=196,University of Erlangen-Nuremberg,30303,43.4,13%,51 : 49,68.8,90.7,53.5,54.5,47.5,44.6
=196,Sichuan UniversityChina,49543,15.8,6%,nan,48.6,93.4,38.7,54.5,58.6,57.1
=198,Durham University,18427,14.1,35%,54 : 46,70.0,39.4,94.3,54.4,44.6,40.0
=198,Queen’s University BelfastUnited Kingdom,19061,15.7,39%,57 : 43,84.4,41.6,97.4,54.4,37.9,31.1
=198,University of Reading,15720,16.4,32%,56 : 44,78.5,42.2,93.3,54.4,39.6,36.5
201–250,Aalto University,13306,19.7,21%,38 : 62,67.5,53.2,81.9,51.2–54.3,40.4,38.3
201–250,University of Bergen,15202,12.8,10%,60 : 40,85.7,41.7,76.4,51.2–54.3,32.7,30.2
201–250,Bielefeld University,24875,66.6,7%,58 : 42,84.2,42.9,48.5,51.2–54.3,42.4,33.1
201–250,University of Calgary,33560,18.7,21%,54 : 46,75.9,61.6,79.9,51.2–54.3,40.2,36.8
201–250,Curtin UniversityAustralia,29999,20.8,31%,52 : 48,83.0,48.5,95.2,51.2–54.3,33.5,26.5
201–250,University of DundeeUnited Kingdom,13631,18.3,27%,64 : 36,90.3,49.5,85.4,51.2–54.3,30.5,25.8
201–250,University of East AngliaUnited Kingdom,15941,13.3,25%,58 : 42,95.0,37.7,86.4,51.2–54.3,29.7,27.0
201–250,Eindhoven University of Technology,10240,21.0,24%,nan,55.5,99.2,86.4,51.2–54.3,49.8,45.5
201–250,University of Geneva,19078,8.7,40%,62 : 38,81.8,48.2,98.6,51.2–54.3,35.4,34.7
201–250,George Washington University,22298,12.9,15%,62 : 38,83.2,38.7,56.9,51.2–54.3,32.8,47.0
201–250,University of Gothenburg,20891,10.7,12%,nan,87.9,47.1,65.1,51.2–54.3,43.6,29.3
201–250,University of Hohenheim,8714,39.7,14%,58 : 42,95.2,49.6,55.8,51.2–54.3,32.2,33.6
201–250,Humanitas UniversityItaly,1823,19.0,18%,59 : 41,99.7,39.4,62.9,51.2–54.3,28.8,28.3
201–250,King Fahd University of Petroleum and Minerals,7268,8.6,10%,2 : 98,80.3,91.8,76.7,51.2–54.3,35.9,31.4
201–250,University of Konstanz,5758,24.2,12%,60 : 40,62.9,62.6,67.9,51.2–54.3,46.4,42.0
201–250,Korea UniversitySouth Korea,22507,15.8,27%,nan,61.5,95.3,55.8,51.2–54.3,48.7,46.8
201–250,Université Libre de Bruxelles,28290,49.3,31%,57 : 43,77.3,44.8,88.9,51.2–54.3,44.1,32.6
201–250,University of Luxembourg,5185,19.3,51%,53 : 47,64.5,51.2,99.4,51.2–54.3,39.8,38.2
201–250,University of MacauMacao,10460,15.4,39%,55 : 45,78.5,44.2,99.3,51.2–54.3,36.0,31.6
201–250,Macau University of Science and TechnologyMacao,11993,38.1,91%,57 : 43,79.2,50.1,99.7,51.2–54.3,30.7,35.4
201–250,Medical University of Innsbruck,3244,12.9,43%,54 : 46,88.8,95.3,88.4,51.2–54.3,30.2,29.9
201–250,Moscow Institute of Physics and Technology (MIPT),6083,11.5,20%,nan,51.4,99.1,62.2,51.2–54.3,46.8,55.7
201–250,University of Newcastle,24363,29.5,18%,57 : 43,79.3,61.9,84.3,51.2–54.3,35.8,30.0
201–250,University of Notre Dame,12401,10.9,13%,46 : 54,67.7,39.7,59.3,51.2–54.3,40.5,51.0
201–250,University of Padua,48524,29.3,8%,55 : 45,80.9,46.4,49.3,51.2–54.3,36.5,47.2
201–250,University of Potsdam,14993,39.6,14%,57 : 43,70.4,60.2,59.6,51.2–54.3,44.6,39.2
201–250,Qatar University,9084,8.8,35%,77 : 23,79.6,61.4,98.9,51.2–54.3,38.7,27.0
201–250,Queensland University of TechnologyAustralia,35278,37.9,17%,53 : 47,86.0,50.1,83.9,51.2–54.3,39.7,29.2
201–250,RCSI University of Medicine and Health SciencesIreland,2563,24.2,70%,nan,76.9,50.7,94.7,51.2–54.3,37.3,31.4
201–250,Rutgers University – New Brunswick,46158,10.9,17%,53 : 47,73.0,43.1,53.9,51.2–54.3,43.6,43.5
201–250,"St George’s, University of London",3489,13.3,20%,64 : 36,99.9,40.5,74.9,51.2–54.3,28.3,20.4
201–250,Sant’Anna School of Advanced Studies – Pisa,1100,14.0,19%,41 : 59,69.4,81.0,56.7,51.2–54.3,40.2,43.3
201–250,University of São Paulo,82010,15.9,4%,47 : 53,43.3,43.0,37.2,51.2–54.3,61.5,54.5
201–250,Sapienza University of Rome,72604,28.2,10%,60 : 40,67.7,53.0,43.5,51.2–54.3,44.9,52.4
201–250,Semmelweis UniversityHungary,9860,12.2,34%,69 : 31,87.9,43.3,77.1,51.2–54.3,18.0,44.7
201–250,University of South Florida,39907,18.6,13%,nan,85.1,85.0,56.2,51.2–54.3,36.9,31.1
201–250,University of St Andrews,9770,12.3,47%,59 : 41,67.8,38.9,94.9,51.2–54.3,41.4,40.0
201–250,University of Surrey,14958,16.9,36%,53 : 47,79.5,45.8,94.8,51.2–54.3,33.9,31.3
201–250,University of Sussex,17791,17.5,37%,55 : 45,89.0,39.0,93.1,51.2–54.3,34.2,28.0
201–250,Università della Svizzera italiana,3266,12.5,66%,47 : 53,91.4,55.7,99.5,51.2–54.3,23.3,28.0
201–250,University of Tartu,9235,12.0,13%,68 : 32,92.4,45.6,65.4,51.2–54.3,33.1,26.8
201–250,Tel Aviv University,23834,23.0,7%,57 : 43,72.0,43.8,56.0,51.2–54.3,51.2,39.4
201–250,Tohoku University,17812,12.4,14%,28 : 72,36.8,94.5,51.1,51.2–54.3,62.3,59.1
201–250,University College Dublin,23361,21.3,31%,nan,73.9,46.9,94.2,51.2–54.3,40.3,32.6
201–250,Vita-Salute San Raffaele University,3560,15.1,5%,61 : 39,99.7,38.2,45.2,51.2–54.3,27.8,37.6
201–250,Vrije Universiteit Brussel,14284,33.6,23%,57 : 43,67.4,60.1,77.3,51.2–54.3,43.6,36.6
201–250,University of Waterloo,34306,23.2,23%,48 : 52,71.0,47.3,87.5,51.2–54.3,46.4,36.8
201–250,Western University,29747,29.5,22%,56 : 44,67.9,79.9,85.6,51.2–54.3,42.1,40.7
201–250,Western Sydney University,36033,40.3,22%,58 : 42,87.6,44.1,87.9,51.2–54.3,31.7,25.8
201–250,University of WollongongAustralia,17440,29.1,27%,54 : 46,74.8,57.2,94.0,51.2–54.3,38.2,31.4
251–300,Aalborg University,16818,14.7,14%,nan,73.2,51.5,76.4,48.9–51.1,43.3,29.5
251–300,Auckland University of TechnologyNew Zealand,18837,17.3,49%,59 : 41,97.4,39.4,96.4,48.9–51.1,21.3,20.8
251–300,Australian Catholic University,23728,39.1,15%,75 : 25,98.3,38.4,79.9,48.9–51.1,25.9,18.3
251–300,University of Bath,14953,15.5,34%,46 : 54,73.8,39.9,93.4,48.9–51.1,33.8,32.2
251–300,Beijing Normal University,24416,14.3,10%,nan,59.5,64.3,41.4,48.9–51.1,43.8,50.7
251–300,Bond University,3214,10.9,39%,54 : 46,99.9,38.3,81.8,48.9–51.1,21.8,21.6
251–300,Boston College,12755,14.5,12%,54 : 46,74.9,37.4,48.5,48.9–51.1,31.5,48.6
